Alamitos,17.95,Guadalupe
Almaden Watershed,37.95,Guadalupe
Biel Ranch,20.31,Coyote
Castro Valley,11.1,Pajaro
Guadalupe Slough,12.8,Guadalupe
Coe Park,27.87,Coyote
Coit Ranch,27.17,Coyote
Coyote Reservoir,20.91,Coyote
Curtner Ranch,18.74,Coyote
Haskins Ranch,21.65,Coyote
Johnson Ranch,26.97,Guadalupe
Leroy Anderson Dam,25.79,Coyote
Loma Prieta,47.44,Pajaro
Sunnyvale Hamilton WTP,17.91,Lower Peninsula
Mt Hamilton,32.52,Coyote
Mt Umunhum,47.32,Guadalupe
Valley Christian,45.75,West Valley
Rinconada WTP,23.74,Guadalupe
Shanti Ashrama,25.55,Coyote
Penitencia WTP,16.81,Coyote
Stevens Creek Reservoir,30.43,Lower Peninsula
UTC,17.52,Coyote
Uvas Reservoir,36.57,Pajaro
West Yard,18.82,West Valley
Mtn View Corp Yard,15.2,Lower Peninsula
Guadalupe Watershed,39.76,Guadalupe
Vasona Pump Station,21.81,Guadalupe
Cow Ridge,26.77,Coyote
Calero Watershed,26.5,Guadalupe
Palo Alto Reclamation Plant,13.62,Lower Peninsula
City of San Jose,13.94,Coyote
Evergreen,14.37,Coyote
Church Ave Perc Ponds,21.73,Guadalupe
Uvas Canyon County Park,53.66,Pajaro
Lexington Reservoir (Banjo Point),35.79,Guadalupe
West Little Llagas,25,Pajaro
Rancho San Antonio,27.4,Lower Peninsula
Palm Ave,21.34,Pajaro
Trappers Trail,34.57,Lower Peninsula
Edmundson Ave,26.3,Pajaro
Maryknoll Fields,20.75,Lower Peninsula
Canada de los Osos,22.95,Pajaro
Los Trancos,41.54,Lower Peninsula
Westwind Community Barn,22.44,Lower Peninsula
